A, 0.37 0.86 0.21 0.38 0.09 0.79 0.35 0.82 0.84 0.32 0.14 0.53 0.9 0.83 0.56 0.98 0.11 0.08 0.1
B, 2.69 0.53 0.39 0.45 0.11 3.15 0.04 0.2 1.1 0.72 0.1 0.45 0.14 0.18 0.21 0.63 0.01 0.01 0.04
