8, 4, 1
12, 4, 0
12, 8, 1
16, 4, 0
16, 8, 1
16, 12, 2
20, 4, 0
20, 8, 2
20, 12, 2
20, 16, 1
24, 4, 0
24, 8, 2
24, 12, 2
24, 16, 2
24, 20, 1
28, 4, 0
28, 8, 1
28, 12, 1
28, 16, 1
28, 20, 0
28, 24, 1
32, 4, 0
32, 8, 2
32, 12, 0
32, 16, 0
32, 20, 1
32, 24, 1
32, 28, 1
36, 4, 0
36, 8, 1
36, 12, 1
36, 16, 1
36, 20, 1
36, 24, 1
36, 28, 0
36, 32, 1
40, 4, 2
40, 8, 2
40, 12, 0
40, 16, 1
40, 20, 1
40, 24, 1
40, 28, 2
40, 32, 1
40, 36, 2
44, 4, 1
44, 8, 0
44, 12, 1
44, 16, 0
44, 20, 1
44, 24, 1
44, 28, 1
44, 32, 1
44, 36, 1
44, 40, 1
48, 4, 1
48, 8, 0
48, 12, 0
48, 16, 0
48, 20, 1
48, 24, 2
48, 28, 1
48, 32, 1
48, 36, 1
48, 40, 0
48, 44, 1
52, 4, 1
52, 8, 1
52, 12, 1
52, 16, 1
52, 20, 1
52, 24, 2
52, 28, 1
52, 32, 2
52, 36, 1
52, 40, 1
52, 44, 1
52, 48, 1
56, 4, 0
56, 8, 0
56, 12, 2
56, 16, 2
56, 20, 2
56, 24, 1
56, 28, 0
56, 32, 1
56, 36, 1
56, 40, 0
56, 44, 0
56, 48, 1
56, 52, 1
60, 4, 1
60, 8, 0
60, 12, 1
60, 16, 2
60, 20, 2
60, 24, 1
60, 28, 0
60, 32, 1
60, 36, 2
60, 40, 1
60, 44, 1
60, 48, 1
60, 52, 1
60, 56, 2
64, 4, 1
64, 8, 1
64, 12, 2
64, 16, 1
64, 20, 2
64, 24, 1
64, 28, 2
64, 32, 2
64, 36, 2
64, 40, 0
64, 44, 2
64, 48, 2
64, 52, 0
64, 56, 2
64, 60, 2
68, 4, 0
68, 8, 1
68, 12, 2
68, 16, 1
68, 20, 2
68, 24, 0
68, 28, 2
68, 32, 1
68, 36, 1
68, 40, 1
68, 44, 2
68, 48, 1
68, 52, 1
68, 56, 1
68, 60, 1
68, 64, 1
72, 4, 0
72, 8, 1
72, 12, 2
72, 16, 1
72, 20, 2
72, 24, 0
72, 28, 2
72, 32, 0
72, 36, 1
72, 40, 2
72, 44, 1
72, 48, 0
72, 52, 0
72, 56, 1
72, 60, 0
72, 64, 1
72, 68, 1
76, 4, 0
76, 8, 1
76, 12, 1
76, 16, 0
76, 20, 2
76, 24, 1
76, 28, 1
76, 32, 1
76, 36, 2
76, 40, 0
76, 44, 1
76, 48, 1
76, 52, 1
76, 56, 2
76, 60, 2
76, 64, 2
76, 68, 2
76, 72, 2
80, 4, 1
80, 8, 1
80, 12, 0
80, 16, 1
80, 20, 2
80, 24, 1
80, 28, 1
80, 32, 1
80, 36, 2
80, 40, 1
80, 44, 1
80, 48, 1
80, 52, 1
80, 56, 2
80, 60, 0
80, 64, 2
80, 68, 2
80, 72, 2
80, 76, 1
84, 4, 1
84, 8, 1
84, 12, 1
84, 16, 1
84, 20, 2
84, 24, 1
84, 28, 1
84, 32, 1
84, 36, 2
84, 40, 1
84, 44, 1
84, 48, 1
84, 52, 1
84, 56, 2
84, 60, 1
84, 64, 2
84, 68, 2
84, 72, 2
84, 76, 1
84, 80, 1
88, 4, 0
88, 8, 1
88, 12, 2
88, 16, 2
88, 20, 1
88, 24, 1
88, 28, 2
88, 32, 2
88, 36, 1
88, 40, 0
88, 44, 1
88, 48, 0
88, 52, 1
88, 56, 1
88, 60, 0
88, 64, 0
88, 68, 0
88, 72, 0
88, 76, 1
88, 80, 1
88, 84, 1
92, 4, 1
92, 8, 0
92, 12, 1
92, 16, 1
92, 20, 1
92, 24, 1
92, 28, 1
92, 32, 1
92, 36, 1
92, 40, 0
92, 44, 1
92, 48, 1
92, 52, 1
92, 56, 1
92, 60, 1
92, 64, 0
92, 68, 1
92, 72, 0
92, 76, 0
92, 80, 0
92, 84, 0
92, 88, 0
96, 4, 1
96, 8, 0
96, 12, 2
96, 16, 1
96, 20, 1
96, 24, 1
96, 28, 1
96, 32, 1
96, 36, 1
96, 40, 0
96, 44, 1
96, 48, 1
96, 52, 1
96, 56, 0
96, 60, 1
96, 64, 1
96, 68, 1
96, 72, 0
96, 76, 0
96, 80, 0
96, 84, 0
96, 88, 0
96, 92, 1
100, 4, 0
100, 8, 2
100, 12, 1
100, 16, 1
100, 20, 0
100, 24, 1
100, 28, 0
100, 32, 2
100, 36, 0
100, 40, 0
100, 44, 1
100, 48, 2
100, 52, 0
100, 56, 1
100, 60, 1
100, 64, 1
100, 68, 1
100, 72, 1
100, 76, 0
100, 80, 0
100, 84, 0
100, 88, 0
100, 92, 1
100, 96, 0
,
